receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
pd_1.pdbqt,lig_0001.pdbqt,-2.332,0,OK,output/pd_1_lig_0001.pdbqt,2025-08-29 12:03:37,1,pd_1_lig_0001,0,-2.8918,0,-2.332
pd_1.pdbqt,lig_1456.pdbqt,-2.087,0,OK,output/pd_1_lig_1456.pdbqt,2025-08-29 12:03:38,1456,pd_1_lig_1456,0,-2.5651,0,-2.087
pd_1.pdbqt,lig_1457.pdbqt,-4.704,0,OK,output/pd_1_lig_1457.pdbqt,2025-08-29 12:03:39,1457,pd_1_lig_1457,0,-0.0501,0,-4.704
pd_1.pdbqt,lig_1458.pdbqt,-4.648,0,OK,output/pd_1_lig_1458.pdbqt,2025-08-29 12:01:24,1458,pd_1_lig_1458,0,-0.7176,0,-4.648
pd_1.pdbqt,lig_1459.pdbqt,-4.264,0,OK,output/pd_1_lig_1459.pdbqt,2025-08-29 12:03:41,1459,pd_1_lig_1459,0,-3.2097,0,-4.264
pd_1.pdbqt,lig_1460.pdbqt,-4.189,0,OK,output/pd_1_lig_1460.pdbqt,2025-08-29 12:03:42,1460,pd_1_lig_1460,0,-1.4216,0,-4.189
pd_1.pdbqt,lig_1461.pdbqt,-4.269,0,OK,output/pd_1_lig_1461.pdbqt,2025-08-29 12:03:43,1461,pd_1_lig_1461,0,-2.3129,0,-4.269
pd_1.pdbqt,lig_1462.pdbqt,-5.346,0,OK,output/pd_1_lig_1462.pdbqt,2025-08-29 12:03:44,1462,pd_1_lig_1462,0,-4.6149,0,-5.346
pd_1.pdbqt,lig_1463.pdbqt,-5.165,0,OK,output/pd_1_lig_1463.pdbqt,2025-08-29 12:03:45,1463,pd_1_lig_1463,0,-2.7541,0,-5.165
pd_1.pdbqt,lig_1464.pdbqt,-4.664,0,OK,output/pd_1_lig_1464.pdbqt,2025-08-29 12:03:45,1464,pd_1_lig_1464,0,-2.3903,0,-4.664
pd_1.pdbqt,lig_1465.pdbqt,-4.553,0,OK,output/pd_1_lig_1465.pdbqt,2025-08-29 12:03:46,1465,pd_1_lig_1465,0,-2.6463,0,-4.553
pd_1.pdbqt,lig_1466.pdbqt,-4.421,0,OK,output/pd_1_lig_1466.pdbqt,2025-08-29 12:03:47,1466,pd_1_lig_1466,0,-2.3862,0,-4.421
pd_1.pdbqt,lig_1467.pdbqt,-4.287,0,OK,output/pd_1_lig_1467.pdbqt,2025-08-29 12:03:48,1467,pd_1_lig_1467,0,-1.4965,0,-4.287
pd_1.pdbqt,lig_1468.pdbqt,-4.597,0,OK,output/pd_1_lig_1468.pdbqt,2025-08-29 12:03:49,1468,pd_1_lig_1468,0,2.6272,0,-4.597
pd_1.pdbqt,lig_1469.pdbqt,-4.912,0,OK,output/pd_1_lig_1469.pdbqt,2025-08-29 12:03:50,1469,pd_1_lig_1469,0,-1.0021,0,-4.912
pd_1.pdbqt,lig_1470.pdbqt,-4.916,0,OK,output/pd_1_lig_1470.pdbqt,2025-08-29 12:03:51,1470,pd_1_lig_1470,0,-0.9471,0,-4.916
pd_1.pdbqt,lig_1471.pdbqt,-4.918,0,OK,output/pd_1_lig_1471.pdbqt,2025-08-29 12:03:51,1471,pd_1_lig_1471,0,-0.8975,0,-4.918
pd_1.pdbqt,lig_1472.pdbqt,-4.903,0,OK,output/pd_1_lig_1472.pdbqt,2025-08-29 12:03:52,1472,pd_1_lig_1472,0,-0.8689,0,-4.903
pd_1.pdbqt,lig_1473.pdbqt,-4.737,0,OK,output/pd_1_lig_1473.pdbqt,2025-08-29 12:03:53,1473,pd_1_lig_1473,0,-1.8992,0,-4.737
pd_1.pdbqt,lig_1474.pdbqt,-4.713,0,OK,output/pd_1_lig_1474.pdbqt,2025-08-29 12:03:54,1474,pd_1_lig_1474,0,-2.7113,0,-4.713
pd_1.pdbqt,lig_1475.pdbqt,-4.726,0,OK,output/pd_1_lig_1475.pdbqt,2025-08-29 12:03:55,1475,pd_1_lig_1475,0,-2.8607,0,-4.726
pd_1.pdbqt,lig_1476.pdbqt,-4.705,0,OK,output/pd_1_lig_1476.pdbqt,2025-08-29 12:03:56,1476,pd_1_lig_1476,0,-2.0915,0,-4.705
pd_1.pdbqt,lig_1477.pdbqt,-4.785,0,OK,output/pd_1_lig_1477.pdbqt,2025-08-29 12:03:57,1477,pd_1_lig_1477,0,-1.8845,0,-4.785
pd_1.pdbqt,lig_1478.pdbqt,-4.806,0,OK,output/pd_1_lig_1478.pdbqt,2025-08-29 12:03:58,1478,pd_1_lig_1478,0,-1.8515,0,-4.806
pd_1.pdbqt,lig_1479.pdbqt,-4.779,0,OK,output/pd_1_lig_1479.pdbqt,2025-08-29 12:03:59,1479,pd_1_lig_1479,0,-1.8219,0,-4.779
pd_1.pdbqt,lig_1480.pdbqt,-4.779,0,OK,output/pd_1_lig_1480.pdbqt,2025-08-29 12:04:00,1480,pd_1_lig_1480,0,-1.7567,0,-4.779
pd_1.pdbqt,lig_1481.pdbqt,-4.951,0,OK,output/pd_1_lig_1481.pdbqt,2025-08-29 12:04:01,1481,pd_1_lig_1481,0,-1.876,0,-4.951
pd_1.pdbqt,lig_1482.pdbqt,-4.88,0,OK,output/pd_1_lig_1482.pdbqt,2025-08-29 12:04:02,1482,pd_1_lig_1482,0,-2.6727,0,-4.88
pd_1.pdbqt,lig_1483.pdbqt,-4.853,0,OK,output/pd_1_lig_1483.pdbqt,2025-08-29 12:04:03,1483,pd_1_lig_1483,0,-2.683,0,-4.853
pd_1.pdbqt,lig_1484.pdbqt,-4.892,0,OK,output/pd_1_lig_1484.pdbqt,2025-08-29 12:04:04,1484,pd_1_lig_1484,0,-2.5047,0,-4.892
pd_1.pdbqt,lig_1485.pdbqt,-5.013,0,OK,output/pd_1_lig_1485.pdbqt,2025-08-29 12:04:05,1485,pd_1_lig_1485,0,-2.6942,0,-5.013
pd_1.pdbqt,lig_1486.pdbqt,-4.988,0,OK,output/pd_1_lig_1486.pdbqt,2025-08-29 12:04:06,1486,pd_1_lig_1486,0,-3.2781,0,-4.988
pd_1.pdbqt,lig_1487.pdbqt,-4.973,0,OK,output/pd_1_lig_1487.pdbqt,2025-08-29 12:04:07,1487,pd_1_lig_1487,0,-3.0701,0,-4.973
pd_1.pdbqt,lig_1488.pdbqt,-4.996,0,OK,output/pd_1_lig_1488.pdbqt,2025-08-29 12:04:08,1488,pd_1_lig_1488,0,-2.5392,0,-4.996
pd_1.pdbqt,lig_1489.pdbqt,-4.762,0,OK,output/pd_1_lig_1489.pdbqt,2025-08-29 12:04:09,1489,pd_1_lig_1489,0,0.0124,0,-4.762
pd_1.pdbqt,lig_1490.pdbqt,-4.528,0,OK,output/pd_1_lig_1490.pdbqt,2025-08-29 12:04:10,1490,pd_1_lig_1490,0,-1.0403,0,-4.528
