receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
ctla_4.pdbqt,lig_0001.pdbqt,-1.489,0,OK,output/ctla_4_lig_0001.pdbqt,2025-09-03 18:56:52,1,ctla_4_lig_0001,0,-2.4191,0,-1.489
ctla_4.pdbqt,lig_1456.pdbqt,-1.372,0,OK,output/ctla_4_lig_1456.pdbqt,2025-09-03 18:56:53,1456,ctla_4_lig_1456,0.6727,-3.5237,-2.3704,-3.7424
ctla_4.pdbqt,lig_1457.pdbqt,-2.841,0,OK,output/ctla_4_lig_1457.pdbqt,2025-09-03 18:56:54,1457,ctla_4_lig_1457,0,0.5339,0,-2.841
ctla_4.pdbqt,lig_1458.pdbqt,-2.832,0,OK,output/ctla_4_lig_1458.pdbqt,2025-09-03 18:56:55,1458,ctla_4_lig_1458,0,0.5192,0,-2.832
ctla_4.pdbqt,lig_1459.pdbqt,-2.573,0,OK,output/ctla_4_lig_1459.pdbqt,2025-09-03 18:56:56,1459,ctla_4_lig_1459,0,1.0907,0,-2.573
ctla_4.pdbqt,lig_1460.pdbqt,-2.812,0,OK,output/ctla_4_lig_1460.pdbqt,2025-09-03 18:56:56,1460,ctla_4_lig_1460,0,-1.6891,0,-2.812
ctla_4.pdbqt,lig_1461.pdbqt,-2.607,0,OK,output/ctla_4_lig_1461.pdbqt,2025-09-03 18:56:57,1461,ctla_4_lig_1461,0,-2.1572,0,-2.607
ctla_4.pdbqt,lig_1462.pdbqt,-3.239,0,OK,output/ctla_4_lig_1462.pdbqt,2025-09-03 18:56:58,1462,ctla_4_lig_1462,0,1.0795,0,-3.239
ctla_4.pdbqt,lig_1463.pdbqt,-3.231,0,OK,output/ctla_4_lig_1463.pdbqt,2025-09-03 18:56:59,1463,ctla_4_lig_1463,0,-2.0737,0,-3.231
ctla_4.pdbqt,lig_1464.pdbqt,-2.79,0,OK,output/ctla_4_lig_1464.pdbqt,2025-09-03 18:56:59,1464,ctla_4_lig_1464,0,0.382,0,-2.79
ctla_4.pdbqt,lig_1465.pdbqt,-2.781,0,OK,output/ctla_4_lig_1465.pdbqt,2025-09-03 18:57:00,1465,ctla_4_lig_1465,0,1.0206,0,-2.781
ctla_4.pdbqt,lig_1466.pdbqt,-2.706,0,OK,output/ctla_4_lig_1466.pdbqt,2025-09-03 18:57:01,1466,ctla_4_lig_1466,0,-4.2999,0,-2.706
ctla_4.pdbqt,lig_1467.pdbqt,-2.71,0,OK,output/ctla_4_lig_1467.pdbqt,2025-09-03 18:57:01,1467,ctla_4_lig_1467,0,-2.3285,0,-2.71
ctla_4.pdbqt,lig_1468.pdbqt,-2.965,0,OK,output/ctla_4_lig_1468.pdbqt,2025-09-03 18:57:02,1468,ctla_4_lig_1468,0,0.2897,0,-2.965
ctla_4.pdbqt,lig_1469.pdbqt,-3.382,0,OK,output/ctla_4_lig_1469.pdbqt,2025-09-03 18:57:03,1469,ctla_4_lig_1469,0,-1.9803,0,-3.382
ctla_4.pdbqt,lig_1470.pdbqt,-3.357,0,OK,output/ctla_4_lig_1470.pdbqt,2025-09-03 18:57:04,1470,ctla_4_lig_1470,0,-2.0843,0,-3.357
ctla_4.pdbqt,lig_1471.pdbqt,-3.361,0,OK,output/ctla_4_lig_1471.pdbqt,2025-09-03 18:57:04,1471,ctla_4_lig_1471,0,-2.1032,0,-3.361
ctla_4.pdbqt,lig_1472.pdbqt,-3.362,0,OK,output/ctla_4_lig_1472.pdbqt,2025-09-03 18:57:05,1472,ctla_4_lig_1472,0,-2.1519,0,-3.362
ctla_4.pdbqt,lig_1473.pdbqt,-3.353,0,OK,output/ctla_4_lig_1473.pdbqt,2025-09-03 18:57:06,1473,ctla_4_lig_1473,0,-0.9513,0,-3.353
