receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
ctla_4.pdbqt,lig_0294.pdbqt,-5.942,0,OK,output/ctla_4_lig_0294.pdbqt,2025-09-17 06:28:22,294,ctla_4_lig_0294,0.8469,-5.0532,-4.2794,-8.1417
ctla_4.pdbqt,lig_0242.pdbqt,-6.138,0,OK,output/ctla_4_lig_0242.pdbqt,2025-09-17 06:25:50,242,ctla_4_lig_0242,0.8171,-4.4884,-3.6677,-7.6574
ctla_4.pdbqt,lig_0228.pdbqt,-6.189,0,OK,output/ctla_4_lig_0228.pdbqt,2025-09-17 06:25:15,228,ctla_4_lig_0228,0.6891,-5.0415,-3.4742,-7.49705
ctla_4.pdbqt,lig_0442.pdbqt,-6.18,0,OK,output/ctla_4_lig_0442.pdbqt,2025-09-17 06:35:32,442,ctla_4_lig_0442,0.8788,-2.6489,-2.3279,-6.3449
ctla_4.pdbqt,lig_0214.pdbqt,-6.421,0,OK,output/ctla_4_lig_0214.pdbqt,2025-09-17 06:24:46,214,ctla_4_lig_0214,0.4012,-5.2847,-2.12,-6.29365
ctla_4.pdbqt,lig_0219.pdbqt,-6.889,0,OK,output/ctla_4_lig_0219.pdbqt,2025-09-17 06:24:57,219,ctla_4_lig_0219,0.5809,-2.7317,-1.5868,-6.06465
ctla_4.pdbqt,lig_0187.pdbqt,-6.721,0,OK,output/ctla_4_lig_0187.pdbqt,2025-09-17 06:23:06,187,ctla_4_lig_0187,0.5768,-2.5941,-1.4962,-5.86485
ctla_4.pdbqt,lig_0135.pdbqt,-6.357,0,OK,output/ctla_4_lig_0135.pdbqt,2025-09-17 06:21:10,135,ctla_4_lig_0135,0.7939,-2.0474,-1.6254,-5.75745
ctla_4.pdbqt,lig_0201.pdbqt,-6.242,0,OK,output/ctla_4_lig_0201.pdbqt,2025-09-17 06:24:00,201,ctla_4_lig_0201,0.462,-3.4292,-1.5842,-5.6415
ctla_4.pdbqt,lig_0196.pdbqt,-7.943,0,OK,output/ctla_4_lig_0196.pdbqt,2025-09-17 06:23:51,196,ctla_4_lig_0196,0,-3.5125,0,-5.16295
