receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
pd_l1.pdbqt,lig_0415.pdbqt,-8.143,0,OK,output/pd_l1_lig_0415.pdbqt,2025-09-20 19:48:01,415,pd_l1_lig_0415,0,-0.6012,0,-5.29295
pd_l1.pdbqt,lig_0406.pdbqt,-7.95,0,OK,output/pd_l1_lig_0406.pdbqt,2025-09-20 19:47:36,406,pd_l1_lig_0406,0,3.1676,0,-5.1675
pd_l1.pdbqt,lig_0418.pdbqt,-7.939,0,OK,output/pd_l1_lig_0418.pdbqt,2025-09-20 19:48:07,418,pd_l1_lig_0418,0,-2.3838,0,-5.16035
pd_l1.pdbqt,lig_0354.pdbqt,-7.905,0,OK,output/pd_l1_lig_0354.pdbqt,2025-09-20 19:45:00,354,pd_l1_lig_0354,0,1.9447,0,-5.13825
pd_l1.pdbqt,lig_0492.pdbqt,-7.791,0,OK,output/pd_l1_lig_0492.pdbqt,2025-09-20 19:51:37,492,pd_l1_lig_0492,0,2.9225,0,-5.06415
pd_l1.pdbqt,lig_0384.pdbqt,-7.775,0,OK,output/pd_l1_lig_0384.pdbqt,2025-09-20 19:46:52,384,pd_l1_lig_0384,0,-2.4665,0,-5.05375
pd_l1.pdbqt,lig_0503.pdbqt,-7.775,0,OK,output/pd_l1_lig_0503.pdbqt,2025-09-20 19:52:17,503,pd_l1_lig_0503,0,-2.8727,0,-5.05375
pd_l1.pdbqt,lig_0469.pdbqt,-7.694,0,OK,output/pd_l1_lig_0469.pdbqt,2025-09-20 19:50:21,469,pd_l1_lig_0469,0,-0.4802,0,-5.0011
pd_l1.pdbqt,lig_0383.pdbqt,-7.683,0,OK,output/pd_l1_lig_0383.pdbqt,2025-09-20 19:46:46,383,pd_l1_lig_0383,0,0.3122,0,-4.99395
pd_l1.pdbqt,lig_0377.pdbqt,-7.673,0,OK,output/pd_l1_lig_0377.pdbqt,2025-09-20 19:46:26,377,pd_l1_lig_0377,0,1.7516,0,-4.98745
pd_l1.pdbqt,lig_0523.pdbqt,-7.635,0,OK,output/pd_l1_lig_0523.pdbqt,2025-09-20 19:53:33,523,pd_l1_lig_0523,0,-1.7988,0,-4.96275
pd_l1.pdbqt,lig_0430.pdbqt,-7.6,0,OK,output/pd_l1_lig_0430.pdbqt,2025-09-20 19:48:44,430,pd_l1_lig_0430,0,-2.2549,0,-4.94
pd_l1.pdbqt,lig_0378.pdbqt,-7.574,0,OK,output/pd_l1_lig_0378.pdbqt,2025-09-20 19:46:32,378,pd_l1_lig_0378,0,-1.2489,0,-4.9231
pd_l1.pdbqt,lig_0507.pdbqt,-7.503,0,OK,output/pd_l1_lig_0507.pdbqt,2025-09-20 19:52:33,507,pd_l1_lig_0507,0,0.8639,0,-4.87695
pd_l1.pdbqt,lig_0341.pdbqt,-7.496,0,OK,output/pd_l1_lig_0341.pdbqt,2025-09-20 19:44:23,341,pd_l1_lig_0341,0,1.2106,0,-4.8724
pd_l1.pdbqt,lig_0355.pdbqt,-7.488,0,OK,output/pd_l1_lig_0355.pdbqt,2025-09-20 19:45:04,355,pd_l1_lig_0355,0,5.1226,0,-4.8672
pd_l1.pdbqt,lig_0521.pdbqt,-7.465,0,OK,output/pd_l1_lig_0521.pdbqt,2025-09-20 19:53:26,521,pd_l1_lig_0521,0,-0.3899,0,-4.85225
pd_l1.pdbqt,lig_0426.pdbqt,-7.449,0,OK,output/pd_l1_lig_0426.pdbqt,2025-09-20 19:48:32,426,pd_l1_lig_0426,0,-8.9889,0,-4.84185
pd_l1.pdbqt,lig_0411.pdbqt,-7.448,0,OK,output/pd_l1_lig_0411.pdbqt,2025-09-20 19:47:47,411,pd_l1_lig_0411,0,0.5591,0,-4.8412
pd_l1.pdbqt,lig_0512.pdbqt,-7.431,0,OK,output/pd_l1_lig_0512.pdbqt,2025-09-20 19:52:49,512,pd_l1_lig_0512,0,1.642,0,-4.83015
