receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
sclum.pdbqt,lig_2109.pdbqt,-10.76,0,OK,output/sclum_lig_2109.pdbqt,2025-08-30 10:24:30,2109,sclum_lig_2109,,,,-6.994
sclum.pdbqt,lig_4265.pdbqt,-10.32,0,OK,output/sclum_lig_4265.pdbqt,2025-08-30 11:05:42,4265,sclum_lig_4265,,,,-6.708
sclum.pdbqt,lig_3045.pdbqt,-10.25,0,OK,output/sclum_lig_3045.pdbqt,2025-08-30 10:42:20,3045,sclum_lig_3045,,,,-6.6625
sclum.pdbqt,lig_3047.pdbqt,-10.25,0,OK,output/sclum_lig_3047.pdbqt,2025-08-30 10:42:21,3047,sclum_lig_3047,,,,-6.6625
sclum.pdbqt,lig_4266.pdbqt,-10.25,0,OK,output/sclum_lig_4266.pdbqt,2025-08-30 11:05:44,4266,sclum_lig_4266,,,,-6.6625
sclum.pdbqt,lig_2339.pdbqt,-9.86,0,OK,output/sclum_lig_2339.pdbqt,2025-08-30 10:29:05,2339,sclum_lig_2339,,,,-6.409
sclum.pdbqt,lig_3258.pdbqt,-9.686,0,OK,output/sclum_lig_3258.pdbqt,2025-08-30 10:46:08,3258,sclum_lig_3258,,,,-6.2959
sclum.pdbqt,lig_3651.pdbqt,-8.807,0,OK,output/sclum_lig_3651.pdbqt,2025-08-30 10:53:50,3651,sclum_lig_3651,0.0006,-1.7337,-0.0011,-5.72565
sclum.pdbqt,lig_3910.pdbqt,-8.79,0,OK,output/sclum_lig_3910.pdbqt,2025-08-30 10:58:47,3910,sclum_lig_3910,0,-3.7338,0,-5.7135
sclum.pdbqt,lig_3679.pdbqt,-8.468,0,OK,output/sclum_lig_3679.pdbqt,2025-08-30 10:54:24,3679,sclum_lig_3679,0,2.1574,0,-5.5042
sclum.pdbqt,lig_1589.pdbqt,-8.455,0,OK,output/sclum_lig_1589.pdbqt,2025-08-30 10:15:25,1589,sclum_lig_1589,,,,-5.49575
sclum.pdbqt,lig_1829.pdbqt,-8.455,0,OK,output/sclum_lig_1829.pdbqt,2025-08-30 10:19:38,1829,sclum_lig_1829,,,,-5.49575
sclum.pdbqt,lig_2019.pdbqt,-8.455,0,OK,output/sclum_lig_2019.pdbqt,2025-08-30 10:22:52,2019,sclum_lig_2019,,,,-5.49575
sclum.pdbqt,lig_2605.pdbqt,-8.455,0,OK,output/sclum_lig_2605.pdbqt,2025-08-30 10:34:05,2605,sclum_lig_2605,,,,-5.49575
sclum.pdbqt,lig_2606.pdbqt,-8.455,0,OK,output/sclum_lig_2606.pdbqt,2025-08-30 10:34:06,2606,sclum_lig_2606,,,,-5.49575
sclum.pdbqt,lig_2689.pdbqt,-8.444,0,OK,output/sclum_lig_2689.pdbqt,2025-08-30 10:35:42,2689,sclum_lig_2689,0,-4.2612,0,-5.4886
sclum.pdbqt,lig_3907.pdbqt,-8.439,0,OK,output/sclum_lig_3907.pdbqt,2025-08-30 10:58:43,3907,sclum_lig_3907,0,0.3162,0,-5.48535
sclum.pdbqt,lig_4096.pdbqt,-8.368,0,OK,output/sclum_lig_4096.pdbqt,2025-08-30 11:02:30,4096,sclum_lig_4096,0,-0.3005,0,-5.4392
sclum.pdbqt,lig_3911.pdbqt,-8.363,0,OK,output/sclum_lig_3911.pdbqt,2025-08-30 10:58:48,3911,sclum_lig_3911,0,-3.6236,0,-5.43595
sclum.pdbqt,lig_2576.pdbqt,-8.322,0,OK,output/sclum_lig_2576.pdbqt,2025-08-30 10:33:38,2576,sclum_lig_2576,0,-2.2098,0,-5.4093
sclum.pdbqt,lig_2575.pdbqt,-8.321,0,OK,output/sclum_lig_2575.pdbqt,2025-08-30 10:33:37,2575,sclum_lig_2575,0,-2.0811,0,-5.40865
sclum.pdbqt,lig_2690.pdbqt,-8.206,0,OK,output/sclum_lig_2690.pdbqt,2025-08-30 10:35:44,2690,sclum_lig_2690,0,-4.1017,0,-5.3339
sclum.pdbqt,lig_2990.pdbqt,-7.506,0,OK,output/sclum_lig_2990.pdbqt,2025-08-30 10:41:16,2990,sclum_lig_2990,0.4126,-1.0546,-0.4351,-5.314
sclum.pdbqt,lig_3650.pdbqt,-8.163,0,OK,output/sclum_lig_3650.pdbqt,2025-08-30 10:53:49,3650,sclum_lig_3650,0,2.2788,0,-5.30595
sclum.pdbqt,lig_2136.pdbqt,-8.16,0,OK,output/sclum_lig_2136.pdbqt,2025-08-30 10:24:58,2136,sclum_lig_2136,0,2.3798,0.0001,-5.3039
sclum.pdbqt,lig_3007.pdbqt,-8.093,0,OK,output/sclum_lig_3007.pdbqt,2025-08-30 10:41:34,3007,sclum_lig_3007,0,-2.7855,0,-5.26045
sclum.pdbqt,lig_3784.pdbqt,-7.986,0,OK,output/sclum_lig_3784.pdbqt,2025-08-30 10:56:17,3784,sclum_lig_3784,0.0421,-1.6185,-0.0682,-5.2591
sclum.pdbqt,lig_3915.pdbqt,-8.021,0,OK,output/sclum_lig_3915.pdbqt,2025-08-30 10:58:53,3915,sclum_lig_3915,0.0001,-1.1565,-0.0001,-5.21375
sclum.pdbqt,lig_3916.pdbqt,-7.961,0,OK,output/sclum_lig_3916.pdbqt,2025-08-30 10:58:55,3916,sclum_lig_3916,0.0001,-0.6762,0,-5.17465
sclum.pdbqt,lig_3649.pdbqt,-7.935,0,OK,output/sclum_lig_3649.pdbqt,2025-08-30 10:53:47,3649,sclum_lig_3649,0,-3.4299,0,-5.15775
sclum.pdbqt,lig_1830.pdbqt,-7.918,0,OK,output/sclum_lig_1830.pdbqt,2025-08-30 10:19:39,1830,sclum_lig_1830,,,,-5.1467
sclum.pdbqt,lig_1593.pdbqt,-7.916,0,OK,output/sclum_lig_1593.pdbqt,2025-08-30 10:15:28,1593,sclum_lig_1593,,,,-5.1454
sclum.pdbqt,lig_1594.pdbqt,-7.916,0,OK,output/sclum_lig_1594.pdbqt,2025-08-30 10:15:29,1594,sclum_lig_1594,,,,-5.1454
sclum.pdbqt,lig_2321.pdbqt,-7.897,0,OK,output/sclum_lig_2321.pdbqt,2025-08-30 10:28:43,2321,sclum_lig_2321,0,-2.1093,0,-5.13305
sclum.pdbqt,lig_4427.pdbqt,-7.874,0,OK,output/sclum_lig_4427.pdbqt,2025-08-30 11:08:45,4427,sclum_lig_4427,0.006,-1.8376,-0.011,-5.1291
sclum.pdbqt,lig_4420.pdbqt,-7.85,0,OK,output/sclum_lig_4420.pdbqt,2025-08-30 11:08:37,4420,sclum_lig_4420,0.006,-2.1733,-0.013,-5.1155
sclum.pdbqt,lig_2902.pdbqt,-7.858,0,OK,output/sclum_lig_2902.pdbqt,2025-08-30 10:39:37,2902,sclum_lig_2902,,,,-5.1077
sclum.pdbqt,lig_2903.pdbqt,-7.858,0,OK,output/sclum_lig_2903.pdbqt,2025-08-30 10:39:38,2903,sclum_lig_2903,,,,-5.1077
sclum.pdbqt,lig_4609.pdbqt,-7.851,0,OK,output/sclum_lig_4609.pdbqt,2025-08-30 11:12:06,4609,sclum_lig_4609,0,2.1671,0,-5.10315
sclum.pdbqt,lig_4097.pdbqt,-7.839,0,OK,output/sclum_lig_4097.pdbqt,2025-08-30 11:02:31,4097,sclum_lig_4097,0,2.335,0,-5.09535
sclum.pdbqt,lig_4098.pdbqt,-7.828,0,OK,output/sclum_lig_4098.pdbqt,2025-08-30 11:02:32,4098,sclum_lig_4098,0,2.0388,0,-5.0882
sclum.pdbqt,lig_4090.pdbqt,-7.825,0,OK,output/sclum_lig_4090.pdbqt,2025-08-30 11:02:22,4090,sclum_lig_4090,0,-2.7321,0,-5.08625
sclum.pdbqt,lig_1922.pdbqt,-7.783,0,OK,output/sclum_lig_1922.pdbqt,2025-08-30 10:21:10,1922,sclum_lig_1922,0,-2.0379,0,-5.05895
sclum.pdbqt,lig_4108.pdbqt,-7.782,0,OK,output/sclum_lig_4108.pdbqt,2025-08-30 11:02:44,4108,sclum_lig_4108,0.0001,-2.0671,-0.0002,-5.0585
sclum.pdbqt,lig_4318.pdbqt,-7.776,0,OK,output/sclum_lig_4318.pdbqt,2025-08-30 11:06:45,4318,sclum_lig_4318,0,-0.1955,0,-5.0544
sclum.pdbqt,lig_4421.pdbqt,-7.743,0,OK,output/sclum_lig_4421.pdbqt,2025-08-30 11:08:38,4421,sclum_lig_4421,0.0065,-3.1356,-0.0204,-5.05335
sclum.pdbqt,lig_2879.pdbqt,-7.752,0,OK,output/sclum_lig_2879.pdbqt,2025-08-30 10:39:15,2879,sclum_lig_2879,0,-2.2373,0,-5.0388
