receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
pd_1.pdbqt,lig_0030.pdbqt,-7.261,0,OK,output/pd_1_lig_0030.pdbqt,2025-09-18 19:17:58,30,pd_1_lig_0030,0.1311,-3.398,-0.4456,-5.16525
pd_1.pdbqt,lig_0003.pdbqt,-7.588,0,OK,output/pd_1_lig_0003.pdbqt,2025-09-18 19:16:33,3,pd_1_lig_0003,0,-4.6825,0,-4.9322
pd_1.pdbqt,lig_0028.pdbqt,-7.453,0,OK,output/pd_1_lig_0028.pdbqt,2025-09-18 19:17:48,28,pd_1_lig_0028,0,-4.9309,0,-4.84445
pd_1.pdbqt,lig_0013.pdbqt,-7.286,0,OK,output/pd_1_lig_0013.pdbqt,2025-09-18 19:16:50,13,pd_1_lig_0013,0,-5.0245,-0.0001,-4.736
pd_1.pdbqt,lig_0021.pdbqt,-7.139,0,OK,output/pd_1_lig_0021.pdbqt,2025-09-18 19:17:28,21,pd_1_lig_0021,0.0002,-5.0122,-0.0011,-4.64145
pd_1.pdbqt,lig_0016.pdbqt,-7.06,0,OK,output/pd_1_lig_0016.pdbqt,2025-09-18 19:17:08,16,pd_1_lig_0016,0,-4.4839,0,-4.589
pd_1.pdbqt,lig_0027.pdbqt,-6.981,0,OK,output/pd_1_lig_0027.pdbqt,2025-09-18 19:17:38,27,pd_1_lig_0027,0,-5.1529,-0.0001,-4.53775
pd_1.pdbqt,lig_0006.pdbqt,-6.978,0,OK,output/pd_1_lig_0006.pdbqt,2025-09-18 19:16:41,6,pd_1_lig_0006,0,-5.2536,-0.0001,-4.5358
pd_1.pdbqt,lig_0020.pdbqt,-6.97,0,OK,output/pd_1_lig_0020.pdbqt,2025-09-18 19:17:18,20,pd_1_lig_0020,0,-5.0532,0,-4.5305
pd_1.pdbqt,lig_0064.pdbqt,-6.881,0,OK,output/pd_1_lig_0064.pdbqt,2025-09-18 19:19:01,64,pd_1_lig_0064,0,-1.3521,-0.0001,-4.47275
pd_1.pdbqt,lig_0040.pdbqt,-6.806,0,OK,output/pd_1_lig_0040.pdbqt,2025-09-18 19:18:14,40,pd_1_lig_0040,0,-2.9494,0,-4.4239
pd_1.pdbqt,lig_0002.pdbqt,-6.789,0,OK,output/pd_1_lig_0002.pdbqt,2025-09-18 19:16:23,2,pd_1_lig_0002,0,-4.3502,0,-4.41285
pd_1.pdbqt,lig_0082.pdbqt,-6.782,0,OK,output/pd_1_lig_0082.pdbqt,2025-09-18 19:20:35,82,pd_1_lig_0082,0.0002,-3.6663,-0.0009,-4.4092
pd_1.pdbqt,lig_0053.pdbqt,-6.708,0,OK,output/pd_1_lig_0053.pdbqt,2025-09-18 19:18:43,53,pd_1_lig_0053,0,-3.6446,0,-4.3602
pd_1.pdbqt,lig_0052.pdbqt,-6.656,0,OK,output/pd_1_lig_0052.pdbqt,2025-09-18 19:18:37,52,pd_1_lig_0052,0,-3.1891,0,-4.3264
pd_1.pdbqt,lig_0014.pdbqt,-6.632,0,OK,output/pd_1_lig_0014.pdbqt,2025-09-18 19:16:58,14,pd_1_lig_0014,0.0001,-4.0953,-0.0003,-4.3111
pd_1.pdbqt,lig_0073.pdbqt,-6.625,0,OK,output/pd_1_lig_0073.pdbqt,2025-09-18 19:19:31,73,pd_1_lig_0073,0.0001,-4.0987,-0.0005,-4.30675
pd_1.pdbqt,lig_0091.pdbqt,-6.607,0,OK,output/pd_1_lig_0091.pdbqt,2025-09-18 19:21:18,91,pd_1_lig_0091,0,-4.211,0,-4.29455
pd_1.pdbqt,lig_0041.pdbqt,-6.581,0,OK,output/pd_1_lig_0041.pdbqt,2025-09-18 19:18:20,41,pd_1_lig_0041,0,-3.7694,0,-4.27765
