receptor,ligand,affinity,rmsd_lb,status,output_file,timestamp,ID,ligand_file,akscore2_nondock,akscore2_dock,akscore2_ens,integ_score
sclum.pdbqt,lig_0060.pdbqt,-11.5,0,OK,output/sclum_lig_0060.pdbqt,2025-09-19 21:16:14,60,sclum_lig_0060,0,-4.1082,0,-7.475
sclum.pdbqt,lig_0049.pdbqt,-11.48,0,OK,output/sclum_lig_0049.pdbqt,2025-09-19 21:15:30,49,sclum_lig_0049,0,-4.3807,0,-7.462
sclum.pdbqt,lig_0030.pdbqt,-11.3,0,OK,output/sclum_lig_0030.pdbqt,2025-09-19 21:14:28,30,sclum_lig_0030,0,-2.7413,-0.0001,-7.3451
sclum.pdbqt,lig_0081.pdbqt,-11.24,0,OK,output/sclum_lig_0081.pdbqt,2025-09-19 21:17:28,81,sclum_lig_0081,0,-4.8563,0,-7.306
sclum.pdbqt,lig_0073.pdbqt,-11,0,OK,output/sclum_lig_0073.pdbqt,2025-09-19 21:17:02,73,sclum_lig_0073,0,-4.4684,0,-7.15
sclum.pdbqt,lig_0028.pdbqt,-10.97,0,OK,output/sclum_lig_0028.pdbqt,2025-09-19 21:14:20,28,sclum_lig_0028,0,-3.2039,-0.0001,-7.1306
sclum.pdbqt,lig_0053.pdbqt,-10.95,0,OK,output/sclum_lig_0053.pdbqt,2025-09-19 21:15:52,53,sclum_lig_0053,0,-1.2647,0,-7.1175
sclum.pdbqt,lig_0048.pdbqt,-10.93,0,OK,output/sclum_lig_0048.pdbqt,2025-09-19 21:15:24,48,sclum_lig_0048,0,-3.846,0,-7.1045
sclum.pdbqt,lig_0059.pdbqt,-10.93,0,OK,output/sclum_lig_0059.pdbqt,2025-09-19 21:16:07,59,sclum_lig_0059,0,-4.2247,0,-7.1045
sclum.pdbqt,lig_0069.pdbqt,-10.91,0,OK,output/sclum_lig_0069.pdbqt,2025-09-19 21:16:44,69,sclum_lig_0069,0,-3.2249,0,-7.0915
sclum.pdbqt,lig_0027.pdbqt,-10.9,0,OK,output/sclum_lig_0027.pdbqt,2025-09-19 21:14:16,27,sclum_lig_0027,0,-3.5544,0,-7.085
sclum.pdbqt,lig_0050.pdbqt,-10.88,0,OK,output/sclum_lig_0050.pdbqt,2025-09-19 21:15:37,50,sclum_lig_0050,0,-4.2313,0,-7.072
